Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751553109,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751553110,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751553111,40,,Aggregated,0.000000,0.000000,68,95,160,180,330,1300,1300,1300,1300,1300,1300,301,6,68,167.8111993334878,5.1509999902918935,1347.8227000450715,279.6843853820598
1751553112,60,,Aggregated,0.000000,0.000000,27,68,90,110,190,340,1300,1300,1300,1300,1300,442,6,27,119.6738262418489,5.1509999902918935,1347.8227000450715,270.2262443438914
1751553113,80,,Aggregated,0.000000,0.000000,21,34,71,85,180,330,1300,1300,1300,1300,1300,575,6,21,95.88450138943027,5.1509999902918935,1347.8227000450715,262.49391304347824
1751553114,100,,Aggregated,123.666667,2.000000,20,27,48,71,170,320,1300,1300,1300,1300,1300,720,6,20,80.08414833133833,5.1509999902918935,1347.8227000450715,255.46666666666667
1751553115,120,,Aggregated,128.000000,1.500000,18,24,30,51,110,190,1300,1300,1300,1300,1300,878,6,18,68.4375995422707,5.1509999902918935,1347.8227000450715,254.84168564920273
1751553116,140,,Aggregated,124.200000,1.200000,19,24,28,33,77,170,330,1300,1300,1300,1300,1345,11,19,52.44749271116984,5.1509999902918935,1347.8227000450715,256.6044609665428
1751553117,180,,Aggregated,125.833333,1.000000,21,28,35,42,77,120,330,1300,1300,1300,1300,1624,11,21,50.78943848341538,5.1509999902918935,1347.8227000450715,251.92487684729065
1751553118,200,,Aggregated,129.714286,0.857143,21,27,33,38,68,110,320,1300,1300,1300,1300,1904,13,21,46.56488571216708,5.1509999902918935,1347.8227000450715,256.73056722689074
1751553119,220,,Aggregated,168.125000,1.375000,21,27,32,36,63,97,190,340,1300,1300,1300,2207,16,21,43.35677974524443,1.193600008264184,1347.8227000450715,258.0335296782963
1751553120,240,,Aggregated,180.888889,1.222222,21,27,32,37,61,95,180,330,1300,1300,1300,2502,18,21,41.81242797659229,1.193600008264184,1347.8227000450715,256.5699440447642
1751553122,260,,Aggregated,220.700000,1.600000,22,28,34,38,68,110,200,690,1300,1300,1300,2864,23,22,45.10333226151783,1.0715000098571181,1347.8227000450715,263.8289106145251
1751553123,280,,Aggregated,220.700000,1.600000,25,34,43,50,76,110,180,340,1300,1300,1300,3610,61,25,46.34371257478686,1.0715000098571181,1347.8227000450715,266.59778393351803
1751553124,300,,Aggregated,250.200000,1.800000,25,34,41,48,73,100,180,330,1300,1300,1300,4076,63,25,44.346281328535355,1.0715000098571181,1347.8227000450715,268.5019627085378
1751553125,320,,Aggregated,309.800000,5.500000,25,33,41,47,73,110,190,660,1300,1300,1300,4438,65,25,46.3076610401031,1.0715000098571181,1347.8227000450715,271.33528616493913
1751553126,340,,Aggregated,309.800000,5.500000,26,35,44,50,73,100,180,650,1300,1300,1300,4961,85,26,46.17203628216138,0.8815999608486891,1347.8227000450715,270.8649465833501
1751553127,360,,Aggregated,365.800000,5.900000,25,34,42,48,71,100,180,630,1300,1300,1300,5341,87,25,44.09609876340822,0.8815999608486891,1347.8227000450715,270.04343755850965
1751553128,380,,Aggregated,405.300000,7.900000,25,33,40,46,67,93,170,340,1300,1300,1300,6278,87,25,42.166601671500075,0.8815999608486891,1347.8227000450715,272.34389933099715
1751553129,400,,Aggregated,405.300000,7.900000,25,33,40,45,65,91,150,330,1300,1300,1300,6946,96,25,40.37621403613127,0.8815999608486891,1347.8227000450715,270.47264612726747
1751553130,420,,Aggregated,461.400000,7.600000,24,32,38,44,63,89,140,330,1300,1300,1300,7383,98,24,39.18363520167337,0.8815999608486891,1347.8227000450715,271.726263036706
1751553131,440,,Aggregated,504.200000,8.300000,23,30,37,42,61,85,140,320,1300,1300,1300,8135,103,23,37.77645685260379,0.6331999320536852,1347.8227000450715,271.1275968039336
1751553132,460,,Aggregated,517.300000,8.200000,23,30,36,41,59,83,130,270,1300,1300,1300,8636,109,23,36.62644544872574,0.6331999320536852,1347.8227000450715,271.7503473830477
1751553133,480,,Aggregated,559.300000,8.500000,24,33,40,47,68,92,140,260,1300,1300,1300,9360,123,24,38.8703030229369,0.6331999320536852,1347.8227000450715,274.7773504273504
1751553134,500,,Aggregated,577.300000,8.600000,26,37,47,57,92,150,230,330,1300,1300,1300,10163,179,26,47.277938432902246,0.6331999320536852,1347.8227000450715,277.06277673915184
1751553135,520,,Aggregated,563.400000,5.700000,27,40,52,63,100,170,240,330,1300,1300,1300,11069,229,27,50.36569466899883,0.6331999320536852,1347.8227000450715,275.09720841991145
